,popularity,genre_ids,revenue,12,16,14,9648,35,878,28,10770,10402,10752,27,53,37,36,99,18,10749,10751,80
89,104.49600000000001,"[28, 12, 16, 14]",17322136.0,True,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
90,103.47200000000001,"[12, 16, 10751]",517526875.0,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
91,103.02600000000001,"[28, 12, 878]",1303459585.0,True,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False
92,102.90799999999999,"[28, 12, 35, 14]",853977126.0,True,False,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False
93,101.449,"[28, 12, 14, 878]",657924295.0,True,False,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False
94,99.31,"[35, 18, 53]",257591776.0,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False
95,97.835,"[12, 14]",876688482.0,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
96,95.93,"[28, 12, 14]",1148461807.0,True,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
97,95.73,"[28, 12, 35]",73279888.0,True,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False
98,94.411,"[14, 16, 10751]",75634409.0,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
99,93.95100000000001,"[35, 10751]",14871307.0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False
100,93.706,"[12, 16, 35, 10751]",111615070.0,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False
101,93.605,"[28, 12, 35]",783100000.0,True,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False
102,93.34,"[28, 12, 16, 10751]",1242805359.0,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False
103,91.51700000000001,[35],215863606.0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
104,91.012,"[12, 16]",1015339.0,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
105,90.971,"[18, 36, 10752]",175302354.0,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,False
106,89.39,"[28, 12, 35, 27, 878, 53]",160542134.0,True,False,False,False,True,True,True,False,False,False,True,True,False,False,False,False,False,False,False
107,89.319,"[35, 10751, 14, 27]",39514713.0,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False
108,88.23200000000001,"[18, 36]",225508210.0,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False
109,88.166,"[28, 53]",31329947.0,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False
110,86.291,[27],62771059.0,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
111,85.971,"[28, 35, 80, 53]",297718711.0,False,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,True
112,85.815,"[28, 12, 878]",1519557910.0,True,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False
113,83.82,"[28, 12, 878]",467989645.0,True,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False
114,83.786,"[28, 12, 14, 878]",677700000.0,True,False,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False
115,83.75200000000002,"[16, 10749, 10751]",5362776.0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False
116,83.25200000000002,[18],309208309.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
117,83.21799999999998,"[12, 14, 9648]",938212738.0,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
118,82.79299999999998,"[28, 9648, 878, 53]",348319861.0,False,False,False,True,False,True,True,False,False,False,False,True,False,False,False,False,False,False,False
